,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
29,PTT,2016-11-25 00:00:00+00:00,34.8,35.1,34.6,35,"30,734,000",34.8,35.1,34.6,35,"30,734,000",0,1
30,PTT,2016-11-28 00:00:00+00:00,34.4,34.8,34.3,34.8,"37,788,000",34.4,34.8,34.3,34.8,"37,788,000",0,1
31,PTT,2016-11-29 00:00:00+00:00,34.2,34.8,34.2,34.7,"40,617,000",34.2,34.8,34.2,34.7,"40,617,000",0,1
32,PTT,2016-11-30 00:00:00+00:00,34.9,34.9,34.2,34.2,"77,901,000",34.9,34.9,34.2,34.2,"77,901,000",0,1
33,PTT,2016-01-12 00:00:00+00:00,36.4,36.5,35.4,35.5,"159,670,000",36.4,36.5,35.4,35.5,"159,670,000",0,1
34,PTT,2016-02-12 00:00:00+00:00,35.6,37,35.6,36.7,"109,641,000",35.6,37,35.6,36.7,"109,641,000",0,1
35,PTT,2016-06-12 00:00:00+00:00,36.7,36.7,35.4,36,"63,390,000",36.7,36.7,35.4,36,"63,390,000",0,1
36,PTT,2016-07-12 00:00:00+00:00,36.5,36.8,36.4,36.6,"51,880,000",36.5,36.8,36.4,36.6,"51,880,000",0,1
37,PTT,2016-08-12 00:00:00+00:00,36.2,36.6,36.2,36.6,"46,079,000",36.2,36.6,36.2,36.6,"46,079,000",0,1
38,PTT,2016-09-12 00:00:00+00:00,36.9,37,36.6,36.8,"65,290,000",36.9,37,36.6,36.8,"65,290,000",0,1
39,PTT,2016-12-13 00:00:00+00:00,36.8,37.3,36.8,37.1,"85,396,000",36.8,37.3,36.8,37.1,"85,396,000",0,1
